year_week,count
2019_39,2
2019_41,1
2019_46,2
2019_47,1
2020_04,2
2020_07,1
2020_09,1
2020_13,1
2020_14,1
2020_16,1
2020_17,1
2020_18,1
2020_20,2
2020_21,1
2020_23,2
2020_24,2
2020_26,1
2020_27,1
2020_28,2
2020_29,3
2020_30,2
2020_31,1
2020_32,1
2020_34,2
2020_35,1
2020_36,2
2020_38,1
2020_39,1
2020_40,1
2020_41,1
2020_42,1
2020_43,1
2020_45,5
2020_46,3
2020_47,1
2020_51,3
2021_00,1
2021_01,1
2021_03,1
2021_04,1
2021_05,2
2021_06,1
2021_07,2
2021_10,2
2021_13,1
2021_14,1
2021_15,1
2021_16,2
2021_17,2
2021_18,2
2021_19,2
2021_20,3
2021_21,3
2021_23,2
2021_24,4
2021_25,1
2021_26,2
2021_27,2
2021_28,1
2021_29,2
2021_31,3
2021_32,2
2021_33,2
2021_34,2
2021_35,1
2021_36,3
2021_37,1
2021_38,2
2021_41,2
2021_42,4
2021_43,4
2021_44,4
2021_45,3
2021_46,2
2021_48,1
2021_49,2
2021_50,1
2022_00,5
2022_02,2
2022_03,1
2022_04,2
2022_05,4
2022_06,3
2022_07,2
2022_08,1
2022_09,4
2022_11,1
2022_12,1
2022_14,3
2022_16,3
2022_17,4
2022_18,7
2022_20,6
2022_21,4
2022_22,2
2022_23,2
2022_24,4
2022_25,3
2022_26,4
2022_27,4
2022_28,1
2022_30,4
2022_31,6
2022_32,3
2022_33,3
2022_34,4
2022_35,5
2022_36,5
2022_38,1
2022_39,2
2022_40,3
2022_41,2
2022_42,3
2022_43,1
2022_44,4
2022_45,5
2022_46,2
2022_47,3
2022_48,3
2022_49,8
2022_50,6
2022_51,3
2022_52,1
2023_00,3
2023_01,1
2023_02,3
2023_03,1
2023_04,2
2023_05,7
2023_06,5
2023_07,6
2023_08,1
2023_09,5
2023_10,4
2023_11,3
2023_13,1
2023_14,2
2023_15,2
2023_16,3
2023_17,2
2023_18,2
2023_19,5
2023_20,1
2023_21,4
2023_22,3
2023_24,5
2023_25,8
2023_26,3
2023_27,4
2023_28,7
2023_29,3
2023_30,5
2023_31,5
2023_32,2
2023_33,6
2023_34,3
2023_35,3
2023_36,5
2023_37,6
2023_38,4
2023_39,2
2023_40,2
2023_41,7
2023_42,3
2023_43,1
2023_44,5
2023_45,3
2023_46,3
2023_47,1
2023_48,5
2023_49,1
