year_week,count
2019_28,1
2019_29,1
2019_30,1
2019_33,2
2019_34,3
2019_35,1
2019_36,5
2019_37,4
2019_38,1
2019_39,3
2019_40,7
2019_41,8
2019_42,3
2019_43,5
2019_44,6
2019_45,4
2019_46,9
2019_47,14
2019_48,8
2019_49,6
2019_50,8
2019_51,3
2019_52,3
2020_00,4
2020_01,12
2020_02,9
2020_03,12
2020_04,15
2020_05,14
2020_06,12
2020_07,6
2020_08,10
2020_09,10
2020_10,5
2020_11,13
2020_12,11
2020_13,23
2020_14,14
2020_15,16
2020_16,8
2020_17,10
2020_18,16
2020_19,11
2020_20,9
2020_21,14
2020_22,18
2020_23,18
2020_24,19
2020_25,16
2020_26,15
2020_27,16
2020_28,19
2020_29,16
2020_30,22
2020_31,18
2020_32,17
2020_33,15
2020_34,21
2020_35,22
2020_36,24
2020_37,15
2020_38,22
2020_39,17
2020_40,19
2020_41,21
2020_42,20
2020_43,20
2020_44,28
2020_45,19
2020_46,24
2020_47,21
2020_48,23
2020_49,30
2020_50,24
2020_51,24
2020_52,6
2021_00,21
2021_01,29
2021_02,36
2021_03,26
2021_04,13
2021_05,27
2021_06,31
2021_07,28
2021_08,27
2021_09,29
2021_10,38
2021_11,29
2021_12,30
2021_13,37
2021_14,23
2021_15,25
2021_16,25
2021_17,32
2021_18,31
2021_19,28
2021_20,32
2021_21,35
2021_22,29
2021_23,21
2021_24,27
2021_25,36
2021_26,42
2021_27,19
2021_28,35
2021_29,29
2021_30,27
2021_31,34
2021_32,35
2021_33,42
2021_34,38
2021_35,32
2021_36,42
2021_37,27
2021_38,32
2021_39,37
2021_40,30
2021_41,32
2021_42,38
2021_43,38
2021_44,38
2021_45,22
2021_46,33
2021_47,42
2021_48,47
2021_49,31
2021_50,38
2021_51,44
2021_52,20
2022_00,37
2022_01,54
2022_02,44
2022_03,49
2022_04,33
2022_05,49
2022_06,57
2022_07,47
2022_08,41
2022_09,43
2022_10,35
2022_11,41
2022_12,42
2022_13,55
2022_14,43
2022_15,51
2022_16,33
2022_17,41
2022_18,59
2022_19,48
2022_20,69
2022_21,51
2022_22,44
2022_23,62
2022_24,51
2022_25,55
2022_26,56
2022_27,42
2022_28,46
2022_29,40
2022_30,46
2022_31,47
2022_32,45
2022_33,44
2022_34,69
2022_35,49
2022_36,50
2022_37,53
2022_38,62
2022_39,54
2022_40,57
2022_41,54
2022_42,63
2022_43,72
2022_44,63
2022_45,51
2022_46,63
2022_47,50
2022_48,71
2022_49,48
2022_50,60
2022_51,74
2022_52,17
2023_00,48
2023_01,61
2023_02,58
2023_03,70
2023_04,72
2023_05,66
2023_06,64
2023_07,65
2023_08,73
2023_09,61
2023_10,56
2023_11,65
2023_12,66
2023_13,66
2023_14,81
2023_15,71
2023_16,66
2023_17,69
2023_18,64
2023_19,63
2023_20,76
2023_21,81
2023_22,61
2023_23,55
2023_24,65
2023_25,64
2023_26,66
2023_27,60
2023_28,75
2023_29,84
2023_30,85
2023_31,60
2023_32,55
2023_33,69
2023_34,71
2023_35,78
2023_36,77
2023_37,71
2023_38,69
2023_39,71
2023_40,79
2023_41,72
2023_42,81
2023_43,69
2023_44,67
2023_45,70
2023_46,76
2023_47,83
2023_48,89
2023_49,27
