year_week,count
2019_29,1
2019_33,2
2019_35,2
2019_36,3
2019_37,2
2019_38,2
2019_39,1
2019_41,1
2019_42,2
2019_43,2
2019_44,2
2019_46,4
2019_47,2
2019_48,3
2019_49,4
2019_50,5
2019_51,3
2019_52,1
2020_00,5
2020_01,6
2020_02,2
2020_03,2
2020_04,2
2020_05,5
2020_06,6
2020_07,6
2020_08,5
2020_09,3
2020_10,3
2020_11,7
2020_12,7
2020_13,7
2020_14,5
2020_15,4
2020_16,5
2020_17,5
2020_18,5
2020_19,10
2020_20,3
2020_21,6
2020_22,9
2020_23,10
2020_24,6
2020_25,12
2020_26,7
2020_27,4
2020_28,8
2020_29,13
2020_30,8
2020_31,6
2020_32,7
2020_33,11
2020_34,4
2020_35,9
2020_36,3
2020_37,9
2020_38,15
2020_39,8
2020_40,8
2020_41,10
2020_42,11
2020_43,8
2020_44,5
2020_45,12
2020_46,12
2020_47,19
2020_48,10
2020_49,6
2020_50,3
2020_51,8
2020_52,4
2021_00,7
2021_01,10
2021_02,7
2021_03,14
2021_04,10
2021_05,14
2021_06,15
2021_07,14
2021_08,15
2021_09,17
2021_10,14
2021_11,17
2021_12,16
2021_13,12
2021_14,12
2021_15,16
2021_16,12
2021_17,11
2021_18,16
2021_19,10
2021_20,17
2021_21,16
2021_22,22
2021_23,11
2021_24,13
2021_25,10
2021_26,12
2021_27,11
2021_28,18
2021_29,16
2021_30,17
2021_31,19
2021_32,17
2021_33,16
2021_34,18
2021_35,15
2021_36,23
2021_37,19
2021_38,21
2021_39,12
2021_40,15
2021_41,18
2021_42,16
2021_43,10
2021_44,15
2021_45,18
2021_46,13
2021_47,18
2021_48,20
2021_49,18
2021_50,15
2021_51,10
2021_52,1
2022_00,13
2022_01,12
2022_02,26
2022_03,22
2022_04,16
2022_05,22
2022_06,19
2022_07,16
2022_08,20
2022_09,23
2022_10,11
2022_11,17
2022_12,21
2022_13,26
2022_14,14
2022_15,18
2022_16,20
2022_17,14
2022_18,28
2022_19,20
2022_20,16
2022_21,19
2022_22,22
2022_23,24
2022_24,21
2022_25,27
2022_26,19
2022_27,21
2022_28,22
2022_29,23
2022_30,26
2022_31,25
2022_32,27
2022_33,26
2022_34,28
2022_35,20
2022_36,24
2022_37,21
2022_38,34
2022_39,17
2022_40,33
2022_41,31
2022_42,27
2022_43,18
2022_44,26
2022_45,27
2022_46,34
2022_47,25
2022_48,30
2022_49,36
2022_50,25
2022_51,22
2022_52,11
2023_00,21
2023_01,23
2023_02,35
2023_03,30
2023_04,22
2023_05,29
2023_06,33
2023_07,28
2023_08,28
2023_09,28
2023_10,32
2023_11,25
2023_12,20
2023_13,28
2023_14,26
2023_15,27
2023_16,23
2023_17,19
2023_18,32
2023_19,32
2023_20,32
2023_21,32
2023_22,33
2023_23,38
2023_24,27
2023_25,22
2023_26,37
2023_27,27
2023_28,36
2023_29,42
2023_30,24
2023_31,27
2023_32,37
2023_33,22
2023_34,29
2023_35,23
2023_36,36
2023_37,29
2023_38,39
2023_39,34
2023_40,26
2023_41,42
2023_42,38
2023_43,30
2023_44,26
2023_45,30
2023_46,46
2023_47,36
2023_48,31
2023_49,14
