year_week,count
2019_29,1
2019_32,1
2019_33,1
2019_34,4
2019_35,1
2019_36,3
2019_37,3
2019_39,7
2019_40,6
2019_41,7
2019_42,1
2019_43,2
2019_44,2
2019_45,11
2019_46,2
2019_47,4
2019_48,2
2019_49,7
2019_50,2
2019_51,7
2019_52,3
2020_00,5
2020_01,8
2020_02,7
2020_03,4
2020_04,11
2020_05,12
2020_06,7
2020_07,11
2020_08,8
2020_09,10
2020_10,15
2020_11,9
2020_12,16
2020_13,13
2020_14,11
2020_15,11
2020_16,12
2020_17,9
2020_18,13
2020_19,10
2020_20,11
2020_21,16
2020_22,16
2020_23,13
2020_24,20
2020_25,12
2020_26,13
2020_27,21
2020_28,19
2020_29,11
2020_30,13
2020_31,13
2020_32,14
2020_33,16
2020_34,13
2020_35,18
2020_36,15
2020_37,14
2020_38,23
2020_39,21
2020_40,9
2020_41,18
2020_42,11
2020_43,16
2020_44,15
2020_45,20
2020_46,15
2020_47,24
2020_48,20
2020_49,19
2020_50,21
2020_51,19
2020_52,8
2021_00,15
2021_01,13
2021_02,20
2021_03,20
2021_04,24
2021_05,24
2021_06,25
2021_07,23
2021_08,19
2021_09,19
2021_10,18
2021_11,24
2021_12,24
2021_13,17
2021_14,23
2021_15,28
2021_16,29
2021_17,29
2021_18,26
2021_19,19
2021_20,28
2021_21,27
2021_22,30
2021_23,30
2021_24,15
2021_25,22
2021_26,26
2021_27,32
2021_28,28
2021_29,31
2021_30,33
2021_31,25
2021_32,19
2021_33,27
2021_34,30
2021_35,31
2021_36,27
2021_37,31
2021_38,33
2021_39,31
2021_40,23
2021_41,32
2021_42,32
2021_43,26
2021_44,28
2021_45,36
2021_46,41
2021_47,25
2021_48,38
2021_49,33
2021_50,32
2021_51,30
2021_52,6
2022_00,30
2022_01,31
2022_02,37
2022_03,44
2022_04,42
2022_05,37
2022_06,29
2022_07,32
2022_08,34
2022_09,40
2022_10,34
2022_11,39
2022_12,44
2022_13,44
2022_14,31
2022_15,26
2022_16,33
2022_17,34
2022_18,32
2022_19,40
2022_20,32
2022_21,39
2022_22,40
2022_23,50
2022_24,36
2022_25,32
2022_26,38
2022_27,39
2022_28,41
2022_29,37
2022_30,42
2022_31,50
2022_32,38
2022_33,40
2022_34,45
2022_35,51
2022_36,59
2022_37,44
2022_38,32
2022_39,43
2022_40,45
2022_41,46
2022_42,48
2022_43,38
2022_44,55
2022_45,48
2022_46,42
2022_47,39
2022_48,42
2022_49,63
2022_50,53
2022_51,42
2022_52,11
2023_00,29
2023_01,49
2023_02,45
2023_03,44
2023_04,50
2023_05,37
2023_06,48
2023_07,40
2023_08,47
2023_09,52
2023_10,39
2023_11,57
2023_12,42
2023_13,44
2023_14,77
2023_15,45
2023_16,41
2023_17,45
2023_18,50
2023_19,56
2023_20,69
2023_21,55
2023_22,54
2023_23,61
2023_24,68
2023_25,51
2023_26,49
2023_27,53
2023_28,55
2023_29,60
2023_30,75
2023_31,66
2023_32,63
2023_33,63
2023_34,59
2023_35,50
2023_36,59
2023_37,82
2023_38,48
2023_39,67
2023_40,39
2023_41,60
2023_42,50
2023_43,87
2023_44,74
2023_45,59
2023_46,54
2023_47,82
2023_48,74
2023_49,33
