year_week,count
2019_30,1
2019_36,2
2019_37,1
2019_39,2
2019_40,2
2019_41,2
2019_42,4
2019_43,1
2019_44,3
2019_45,2
2019_46,5
2019_47,2
2019_48,1
2019_49,1
2019_50,4
2019_51,1
2019_52,1
2020_00,5
2020_01,6
2020_02,4
2020_03,5
2020_04,3
2020_05,6
2020_06,7
2020_07,7
2020_08,6
2020_09,5
2020_10,8
2020_11,6
2020_12,9
2020_13,8
2020_14,9
2020_15,4
2020_16,3
2020_17,4
2020_18,3
2020_19,8
2020_20,7
2020_21,9
2020_22,16
2020_23,6
2020_24,3
2020_25,8
2020_26,7
2020_27,4
2020_28,8
2020_29,9
2020_30,10
2020_31,8
2020_32,6
2020_33,13
2020_34,8
2020_35,8
2020_36,11
2020_37,8
2020_38,7
2020_39,11
2020_40,11
2020_41,8
2020_42,11
2020_43,8
2020_44,10
2020_45,16
2020_46,13
2020_47,9
2020_48,13
2020_49,17
2020_50,12
2020_51,8
2020_52,2
2021_00,17
2021_01,7
2021_02,12
2021_03,9
2021_04,10
2021_05,8
2021_06,7
2021_07,10
2021_08,15
2021_09,10
2021_10,15
2021_11,11
2021_12,18
2021_13,12
2021_14,12
2021_15,14
2021_16,22
2021_17,13
2021_18,8
2021_19,11
2021_20,10
2021_21,8
2021_22,21
2021_23,12
2021_24,16
2021_25,19
2021_26,21
2021_27,26
2021_28,15
2021_29,14
2021_30,19
2021_31,17
2021_32,21
2021_33,17
2021_34,20
2021_35,19
2021_36,29
2021_37,14
2021_38,13
2021_39,16
2021_40,17
2021_41,14
2021_42,12
2021_43,17
2021_44,22
2021_45,22
2021_46,25
2021_47,21
2021_48,30
2021_49,15
2021_50,26
2021_51,19
2021_52,3
2022_00,21
2022_01,20
2022_02,19
2022_03,27
2022_04,23
2022_05,26
2022_06,23
2022_07,27
2022_08,21
2022_09,33
2022_10,23
2022_11,30
2022_12,30
2022_13,29
2022_14,25
2022_15,18
2022_16,26
2022_17,19
2022_18,28
2022_19,23
2022_20,22
2022_21,35
2022_22,25
2022_23,24
2022_24,31
2022_25,29
2022_26,24
2022_27,24
2022_28,25
2022_29,30
2022_30,30
2022_31,30
2022_32,34
2022_33,32
2022_34,28
2022_35,28
2022_36,30
2022_37,26
2022_38,25
2022_39,24
2022_40,23
2022_41,24
2022_42,36
2022_43,22
2022_44,33
2022_45,33
2022_46,28
2022_47,27
2022_48,23
2022_49,29
2022_50,27
2022_51,29
2022_52,5
2023_00,26
2023_01,28
2023_02,35
2023_03,30
2023_04,35
2023_05,31
2023_06,31
2023_07,25
2023_08,31
2023_09,38
2023_10,26
2023_11,27
2023_12,45
2023_13,34
2023_14,29
2023_15,37
2023_16,31
2023_17,31
2023_18,30
2023_19,39
2023_20,35
2023_21,27
2023_22,32
2023_23,38
2023_24,36
2023_25,52
2023_26,31
2023_27,36
2023_28,30
2023_29,46
2023_30,37
2023_31,28
2023_32,40
2023_33,36
2023_34,38
2023_35,42
2023_36,39
2023_37,39
2023_38,43
2023_39,37
2023_40,37
2023_41,34
2023_42,40
2023_43,41
2023_44,38
2023_45,34
2023_46,46
2023_47,30
2023_48,43
2023_49,20
