year_week,count
2019_34,1
2019_42,1
2019_45,1
2019_46,1
2019_50,1
2020_02,2
2020_03,1
2020_06,1
2020_08,1
2020_10,1
2020_11,2
2020_18,1
2020_19,1
2020_24,1
2020_26,1
2020_31,2
2020_32,1
2020_33,1
2020_37,1
2020_38,2
2020_39,1
2020_40,1
2020_41,1
2020_42,1
2020_43,3
2020_44,1
2020_48,2
2020_49,1
2020_51,2
2021_00,3
2021_01,1
2021_04,2
2021_05,2
2021_06,1
2021_09,2
2021_10,2
2021_11,2
2021_13,1
2021_14,1
2021_15,2
2021_16,1
2021_17,2
2021_19,1
2021_20,3
2021_21,3
2021_23,1
2021_25,2
2021_28,2
2021_30,2
2021_31,1
2021_32,2
2021_33,2
2021_34,2
2021_35,1
2021_36,5
2021_37,2
2021_39,4
2021_41,1
2021_42,1
2021_43,2
2021_44,3
2021_45,2
2021_46,1
2021_47,3
2021_48,3
2021_49,3
2021_50,3
2021_51,2
2022_00,2
2022_01,2
2022_02,1
2022_03,1
2022_04,2
2022_06,1
2022_07,3
2022_08,3
2022_09,2
2022_10,1
2022_11,2
2022_12,6
2022_13,1
2022_14,3
2022_15,1
2022_16,2
2022_17,3
2022_18,4
2022_19,2
2022_20,5
2022_21,2
2022_23,1
2022_24,3
2022_25,3
2022_26,2
2022_27,10
2022_28,6
2022_29,1
2022_31,2
2022_32,3
2022_33,4
2022_34,1
2022_35,2
2022_36,3
2022_37,3
2022_38,2
2022_39,1
2022_40,2
2022_41,4
2022_42,5
2022_43,4
2022_44,4
2022_45,2
2022_46,1
2022_47,4
2022_48,7
2022_49,3
2022_51,1
2022_52,1
2023_00,2
2023_01,5
2023_02,8
2023_03,5
2023_04,6
2023_05,2
2023_06,1
2023_07,4
2023_08,7
2023_09,4
2023_10,2
2023_11,3
2023_12,2
2023_13,4
2023_14,6
2023_16,2
2023_17,4
2023_18,4
2023_19,5
2023_21,6
2023_22,2
2023_23,5
2023_24,5
2023_25,6
2023_26,3
2023_27,4
2023_28,2
2023_29,4
2023_30,3
2023_31,2
2023_32,1
2023_33,1
2023_34,3
2023_35,2
2023_36,3
2023_37,7
2023_39,3
2023_40,3
2023_41,2
2023_42,9
2023_43,2
2023_44,5
2023_45,8
2023_46,3
2023_47,6
2023_48,7
2023_49,1
