year_week,count
2019_30,2
2019_31,1
2019_32,1
2019_34,2
2019_35,2
2019_37,4
2019_38,1
2019_39,2
2019_40,2
2019_41,4
2019_42,5
2019_43,2
2019_44,5
2019_45,3
2019_46,3
2019_47,3
2019_48,4
2019_49,4
2019_50,8
2019_51,5
2019_52,1
2020_00,2
2020_01,4
2020_02,5
2020_03,11
2020_04,5
2020_05,5
2020_06,8
2020_07,11
2020_08,11
2020_09,5
2020_10,5
2020_11,2
2020_12,7
2020_13,10
2020_14,11
2020_15,9
2020_16,4
2020_17,7
2020_18,9
2020_19,7
2020_20,17
2020_21,7
2020_22,8
2020_23,8
2020_24,5
2020_25,8
2020_26,14
2020_27,7
2020_28,13
2020_29,10
2020_30,12
2020_31,7
2020_32,13
2020_33,11
2020_34,10
2020_35,9
2020_36,11
2020_37,15
2020_38,14
2020_39,11
2020_40,9
2020_41,11
2020_42,15
2020_43,5
2020_44,15
2020_45,18
2020_46,10
2020_47,18
2020_48,20
2020_49,17
2020_50,13
2020_51,10
2020_52,5
2021_00,15
2021_01,15
2021_02,16
2021_03,16
2021_04,16
2021_05,12
2021_06,14
2021_07,7
2021_08,12
2021_09,21
2021_10,18
2021_11,20
2021_12,12
2021_13,23
2021_14,19
2021_15,20
2021_16,31
2021_17,15
2021_18,18
2021_19,24
2021_20,18
2021_21,20
2021_22,19
2021_23,20
2021_24,17
2021_25,19
2021_26,26
2021_27,18
2021_28,20
2021_29,25
2021_30,21
2021_31,19
2021_32,19
2021_33,21
2021_34,27
2021_35,19
2021_36,26
2021_37,14
2021_38,18
2021_39,20
2021_40,24
2021_41,16
2021_42,15
2021_43,22
2021_44,16
2021_45,24
2021_46,21
2021_47,23
2021_48,23
2021_49,20
2021_50,23
2021_51,34
2021_52,6
2022_00,19
2022_01,27
2022_02,29
2022_03,20
2022_04,31
2022_05,23
2022_06,26
2022_07,29
2022_08,23
2022_09,31
2022_10,23
2022_11,18
2022_12,29
2022_13,26
2022_14,34
2022_15,23
2022_16,34
2022_17,23
2022_18,28
2022_19,29
2022_20,34
2022_21,20
2022_22,44
2022_23,35
2022_24,27
2022_25,30
2022_26,33
2022_27,25
2022_28,38
2022_29,30
2022_30,30
2022_31,31
2022_32,32
2022_33,38
2022_34,40
2022_35,31
2022_36,38
2022_37,33
2022_38,21
2022_39,26
2022_40,36
2022_41,48
2022_42,27
2022_43,37
2022_44,37
2022_45,47
2022_46,41
2022_47,42
2022_48,30
2022_49,38
2022_50,36
2022_51,37
2022_52,13
2023_00,22
2023_01,40
2023_02,35
2023_03,41
2023_04,32
2023_05,40
2023_06,38
2023_07,29
2023_08,46
2023_09,33
2023_10,38
2023_11,33
2023_12,40
2023_13,42
2023_14,41
2023_15,51
2023_16,28
2023_17,29
2023_18,37
2023_19,40
2023_20,39
2023_21,40
2023_22,46
2023_23,35
2023_24,45
2023_25,30
2023_26,47
2023_27,46
2023_28,40
2023_29,39
2023_30,48
2023_31,53
2023_32,44
2023_33,48
2023_34,38
2023_35,36
2023_36,44
2023_37,51
2023_38,47
2023_39,46
2023_40,46
2023_41,47
2023_42,39
2023_43,48
2023_44,48
2023_45,36
2023_46,53
2023_47,61
2023_48,50
2023_49,22
