year_week,count
2019_27,1
2019_29,1
2019_30,6
2019_31,2
2019_32,1
2019_33,5
2019_34,4
2019_35,5
2019_36,11
2019_37,9
2019_38,11
2019_39,7
2019_40,16
2019_41,15
2019_42,15
2019_43,10
2019_44,18
2019_45,19
2019_46,16
2019_47,19
2019_48,22
2019_49,26
2019_50,22
2019_51,30
2019_52,8
2020_00,18
2020_01,24
2020_02,22
2020_03,20
2020_04,35
2020_05,24
2020_06,29
2020_07,23
2020_08,37
2020_09,32
2020_10,30
2020_11,26
2020_12,49
2020_13,36
2020_14,32
2020_15,33
2020_16,37
2020_17,29
2020_18,35
2020_19,41
2020_20,42
2020_21,50
2020_22,50
2020_23,50
2020_24,46
2020_25,42
2020_26,30
2020_27,34
2020_28,40
2020_29,55
2020_30,59
2020_31,58
2020_32,64
2020_33,65
2020_34,55
2020_35,47
2020_36,53
2020_37,46
2020_38,57
2020_39,45
2020_40,51
2020_41,66
2020_42,62
2020_43,49
2020_44,49
2020_45,64
2020_46,50
2020_47,80
2020_48,71
2020_49,72
2020_50,65
2020_51,72
2020_52,21
2021_00,59
2021_01,67
2021_02,62
2021_03,63
2021_04,65
2021_05,76
2021_06,53
2021_07,75
2021_08,70
2021_09,85
2021_10,75
2021_11,93
2021_12,79
2021_13,76
2021_14,74
2021_15,94
2021_16,68
2021_17,76
2021_18,77
2021_19,72
2021_20,87
2021_21,74
2021_22,76
2021_23,95
2021_24,76
2021_25,89
2021_26,108
2021_27,88
2021_28,98
2021_29,81
2021_30,106
2021_31,81
2021_32,105
2021_33,99
2021_34,102
2021_35,103
2021_36,103
2021_37,84
2021_38,103
2021_39,90
2021_40,104
2021_41,117
2021_42,92
2021_43,105
2021_44,82
2021_45,123
2021_46,118
2021_47,116
2021_48,102
2021_49,123
2021_50,115
2021_51,144
2021_52,22
2022_00,103
2022_01,140
2022_02,111
2022_03,118
2022_04,119
2022_05,108
2022_06,110
2022_07,117
2022_08,129
2022_09,108
2022_10,115
2022_11,113
2022_12,121
2022_13,122
2022_14,141
2022_15,124
2022_16,128
2022_17,140
2022_18,141
2022_19,134
2022_20,148
2022_21,148
2022_22,114
2022_23,141
2022_24,153
2022_25,142
2022_26,132
2022_27,157
2022_28,138
2022_29,135
2022_30,139
2022_31,166
2022_32,145
2022_33,168
2022_34,196
2022_35,168
2022_36,135
2022_37,177
2022_38,148
2022_39,167
2022_40,143
2022_41,136
2022_42,151
2022_43,160
2022_44,179
2022_45,162
2022_46,144
2022_47,187
2022_48,163
2022_49,193
2022_50,181
2022_51,164
2022_52,52
2023_00,127
2023_01,157
2023_02,177
2023_03,208
2023_04,186
2023_05,153
2023_06,194
2023_07,203
2023_08,158
2023_09,200
2023_10,192
2023_11,180
2023_12,167
2023_13,206
2023_14,200
2023_15,190
2023_16,166
2023_17,170
2023_18,191
2023_19,224
2023_20,171
2023_21,184
2023_22,205
2023_23,224
2023_24,217
2023_25,172
2023_26,193
2023_27,188
2023_28,227
2023_29,202
2023_30,204
2023_31,195
2023_32,183
2023_33,218
2023_34,193
2023_35,173
2023_36,223
2023_37,229
2023_38,211
2023_39,223
2023_40,194
2023_41,230
2023_42,217
2023_43,194
2023_44,212
2023_45,204
2023_46,202
2023_47,245
2023_48,233
2023_49,92
