year_week,count
2019_30,1
2019_31,3
2019_32,4
2019_33,1
2019_34,2
2019_35,2
2019_36,2
2019_37,6
2019_38,10
2019_39,3
2019_40,6
2019_41,5
2019_42,6
2019_43,5
2019_44,8
2019_45,5
2019_46,8
2019_47,8
2019_48,10
2019_49,8
2019_50,14
2019_51,6
2019_52,1
2020_00,8
2020_01,15
2020_02,10
2020_03,12
2020_04,11
2020_05,15
2020_06,10
2020_07,9
2020_08,12
2020_09,14
2020_10,12
2020_11,3
2020_12,8
2020_13,18
2020_14,12
2020_15,15
2020_16,10
2020_17,10
2020_18,16
2020_19,16
2020_20,18
2020_21,19
2020_22,17
2020_23,13
2020_24,13
2020_25,28
2020_26,16
2020_27,19
2020_28,8
2020_29,18
2020_30,14
2020_31,14
2020_32,29
2020_33,24
2020_34,26
2020_35,20
2020_36,15
2020_37,21
2020_38,31
2020_39,30
2020_40,16
2020_41,22
2020_42,19
2020_43,29
2020_44,14
2020_45,20
2020_46,28
2020_47,28
2020_48,30
2020_49,33
2020_50,27
2020_51,32
2020_52,5
2021_00,23
2021_01,23
2021_02,31
2021_03,22
2021_04,33
2021_05,28
2021_06,21
2021_07,24
2021_08,26
2021_09,28
2021_10,31
2021_11,32
2021_12,25
2021_13,26
2021_14,37
2021_15,35
2021_16,30
2021_17,28
2021_18,26
2021_19,36
2021_20,30
2021_21,26
2021_22,39
2021_23,27
2021_24,33
2021_25,42
2021_26,38
2021_27,40
2021_28,30
2021_29,25
2021_30,26
2021_31,46
2021_32,47
2021_33,46
2021_34,52
2021_35,41
2021_36,39
2021_37,36
2021_38,47
2021_39,36
2021_40,46
2021_41,45
2021_42,35
2021_43,43
2021_44,40
2021_45,50
2021_46,48
2021_47,39
2021_48,52
2021_49,45
2021_50,36
2021_51,50
2021_52,12
2022_00,35
2022_01,53
2022_02,32
2022_03,42
2022_04,52
2022_05,53
2022_06,43
2022_07,53
2022_08,59
2022_09,64
2022_10,57
2022_11,44
2022_12,55
2022_13,44
2022_14,73
2022_15,61
2022_16,56
2022_17,48
2022_18,54
2022_19,58
2022_20,62
2022_21,54
2022_22,63
2022_23,63
2022_24,58
2022_25,57
2022_26,50
2022_27,54
2022_28,58
2022_29,65
2022_30,66
2022_31,56
2022_32,49
2022_33,60
2022_34,68
2022_35,64
2022_36,54
2022_37,68
2022_38,59
2022_39,57
2022_40,66
2022_41,49
2022_42,60
2022_43,59
2022_44,61
2022_45,68
2022_46,50
2022_47,71
2022_48,56
2022_49,68
2022_50,56
2022_51,64
2022_52,17
2023_00,56
2023_01,61
2023_02,63
2023_03,59
2023_04,62
2023_05,78
2023_06,68
2023_07,72
2023_08,70
2023_09,71
2023_10,71
2023_11,63
2023_12,78
2023_13,75
2023_14,66
2023_15,69
2023_16,90
2023_17,91
2023_18,71
2023_19,72
2023_20,71
2023_21,75
2023_22,74
2023_23,61
2023_24,85
2023_25,77
2023_26,79
2023_27,86
2023_28,93
2023_29,79
2023_30,75
2023_31,73
2023_32,74
2023_33,87
2023_34,68
2023_35,86
2023_36,80
2023_37,73
2023_38,81
2023_39,66
2023_40,90
2023_41,76
2023_42,79
2023_43,83
2023_44,82
2023_45,72
2023_46,88
2023_47,72
2023_48,87
2023_49,36
