year_week,count
2019_35,1
2019_37,1
2019_39,1
2019_40,1
2019_42,1
2019_43,1
2019_44,2
2019_45,2
2019_47,2
2019_50,1
2020_00,1
2020_02,3
2020_03,3
2020_04,1
2020_07,2
2020_08,1
2020_09,1
2020_10,1
2020_11,4
2020_12,2
2020_13,1
2020_16,1
2020_17,2
2020_18,1
2020_21,4
2020_22,2
2020_23,2
2020_24,2
2020_25,1
2020_26,1
2020_27,2
2020_29,4
2020_31,1
2020_32,4
2020_34,6
2020_35,4
2020_36,2
2020_37,1
2020_38,3
2020_39,2
2020_40,7
2020_41,4
2020_42,3
2020_43,2
2020_44,3
2020_45,3
2020_46,2
2020_47,2
2020_48,3
2020_49,6
2020_50,1
2020_51,2
2021_00,7
2021_02,2
2021_03,2
2021_04,3
2021_05,2
2021_06,4
2021_07,4
2021_08,5
2021_09,4
2021_10,5
2021_11,2
2021_12,2
2021_13,3
2021_14,1
2021_15,3
2021_17,3
2021_18,5
2021_19,5
2021_20,2
2021_21,5
2021_22,2
2021_23,2
2021_25,1
2021_26,2
2021_27,1
2021_28,2
2021_29,5
2021_30,3
2021_31,5
2021_32,3
2021_33,4
2021_34,3
2021_35,1
2021_36,4
2021_37,8
2021_38,2
2021_39,3
2021_40,7
2021_41,4
2021_42,1
2021_43,4
2021_44,1
2021_45,4
2021_46,5
2021_47,2
2021_48,9
2021_49,6
2021_50,6
2021_51,3
2021_52,1
2022_00,3
2022_01,5
2022_02,3
2022_03,5
2022_04,6
2022_05,6
2022_06,9
2022_07,4
2022_08,7
2022_09,5
2022_10,1
2022_11,5
2022_12,8
2022_13,6
2022_14,4
2022_15,7
2022_16,5
2022_17,1
2022_18,5
2022_19,8
2022_20,4
2022_21,6
2022_22,6
2022_23,4
2022_24,2
2022_25,3
2022_26,9
2022_27,5
2022_28,5
2022_29,10
2022_30,2
2022_31,3
2022_32,11
2022_33,1
2022_34,6
2022_35,9
2022_36,3
2022_37,6
2022_38,5
2022_39,6
2022_40,4
2022_41,9
2022_42,10
2022_43,6
2022_44,3
2022_45,5
2022_46,6
2022_47,7
2022_48,6
2022_49,6
2022_50,3
2022_51,7
2022_52,2
2023_00,5
2023_01,8
2023_02,6
2023_03,12
2023_04,8
2023_05,6
2023_06,7
2023_07,6
2023_08,9
2023_09,8
2023_10,8
2023_11,6
2023_12,10
2023_13,7
2023_14,6
2023_15,9
2023_16,8
2023_17,5
2023_18,9
2023_19,4
2023_20,7
2023_21,10
2023_22,6
2023_23,9
2023_24,6
2023_25,6
2023_26,8
2023_27,12
2023_28,9
2023_29,8
2023_30,10
2023_31,5
2023_32,4
2023_33,8
2023_34,5
2023_35,11
2023_36,6
2023_37,9
2023_38,11
2023_39,11
2023_40,10
2023_41,9
2023_42,8
2023_43,10
2023_44,4
2023_45,3
2023_46,9
2023_47,11
2023_48,9
2023_49,7
