year_week,count
2019_31,1
2019_34,1
2019_43,1
2019_44,1
2019_45,1
2019_48,1
2019_49,1
2019_50,1
2019_52,1
2020_03,1
2020_04,1
2020_08,1
2020_10,1
2020_12,1
2020_13,1
2020_15,1
2020_17,2
2020_22,3
2020_25,2
2020_26,1
2020_29,1
2020_30,1
2020_31,2
2020_32,3
2020_34,1
2020_35,3
2020_36,2
2020_40,1
2020_41,3
2020_42,1
2020_43,3
2020_44,2
2020_46,1
2020_47,1
2020_48,2
2020_49,2
2020_51,1
2021_00,1
2021_01,1
2021_02,1
2021_03,1
2021_05,1
2021_06,1
2021_07,3
2021_08,1
2021_09,1
2021_10,2
2021_11,2
2021_14,1
2021_15,2
2021_16,1
2021_17,4
2021_18,1
2021_19,2
2021_20,3
2021_21,1
2021_22,1
2021_24,3
2021_25,1
2021_28,1
2021_29,4
2021_30,1
2021_31,1
2021_33,2
2021_34,2
2021_35,3
2021_36,2
2021_37,2
2021_38,3
2021_39,2
2021_40,1
2021_41,1
2021_42,2
2021_44,1
2021_46,2
2021_47,2
2021_48,5
2021_49,3
2021_50,2
2021_51,5
2021_52,2
2022_00,2
2022_01,2
2022_02,1
2022_03,1
2022_04,3
2022_05,6
2022_06,2
2022_07,2
2022_08,1
2022_09,1
2022_10,3
2022_11,2
2022_12,1
2022_13,1
2022_14,4
2022_16,6
2022_18,2
2022_19,2
2022_20,2
2022_21,7
2022_22,2
2022_23,2
2022_24,5
2022_25,3
2022_26,3
2022_27,2
2022_28,1
2022_29,4
2022_31,3
2022_32,4
2022_33,1
2022_34,3
2022_35,5
2022_36,2
2022_37,5
2022_38,5
2022_39,1
2022_40,3
2022_41,4
2022_42,4
2022_43,2
2022_44,8
2022_45,2
2022_46,5
2022_47,1
2022_48,6
2022_49,3
2022_50,1
2022_51,3
2023_00,1
2023_01,3
2023_02,3
2023_03,1
2023_04,3
2023_05,2
2023_06,3
2023_07,4
2023_08,6
2023_09,5
2023_10,4
2023_11,4
2023_12,3
2023_13,1
2023_14,4
2023_15,4
2023_16,3
2023_18,3
2023_19,3
2023_20,1
2023_21,4
2023_22,4
2023_23,6
2023_24,1
2023_25,2
2023_26,3
2023_27,5
2023_28,3
2023_29,8
2023_30,3
2023_31,1
2023_32,4
2023_33,4
2023_34,2
2023_35,6
2023_36,5
2023_37,4
2023_38,5
2023_39,5
2023_40,3
2023_41,4
2023_42,7
2023_43,6
2023_44,3
2023_45,5
2023_46,6
2023_47,4
2023_48,4
2023_49,1
