year_week,count
2019_28,1
2019_29,1
2019_31,2
2019_32,1
2019_34,3
2019_35,1
2019_36,2
2019_37,3
2019_38,2
2019_39,2
2019_40,3
2019_41,2
2019_42,3
2019_43,1
2019_44,1
2019_45,4
2019_46,1
2019_47,1
2019_48,5
2019_49,6
2019_50,4
2019_51,5
2020_00,3
2020_01,4
2020_02,5
2020_04,4
2020_05,5
2020_06,7
2020_07,5
2020_08,7
2020_09,2
2020_10,4
2020_11,6
2020_12,9
2020_13,2
2020_14,5
2020_15,4
2020_16,5
2020_17,6
2020_18,6
2020_19,3
2020_20,4
2020_21,6
2020_22,10
2020_23,8
2020_24,7
2020_25,1
2020_26,7
2020_27,4
2020_28,4
2020_29,6
2020_30,4
2020_31,4
2020_32,8
2020_33,12
2020_34,11
2020_35,8
2020_36,3
2020_37,10
2020_38,9
2020_39,11
2020_40,7
2020_41,6
2020_42,6
2020_43,9
2020_44,8
2020_45,8
2020_46,8
2020_47,8
2020_48,13
2020_49,7
2020_50,11
2020_51,12
2020_52,4
2021_00,8
2021_01,13
2021_02,7
2021_03,14
2021_04,15
2021_05,17
2021_06,6
2021_07,6
2021_08,7
2021_09,7
2021_10,7
2021_11,10
2021_12,7
2021_13,16
2021_14,11
2021_15,15
2021_16,12
2021_17,9
2021_18,11
2021_19,11
2021_20,9
2021_21,10
2021_22,15
2021_23,5
2021_24,7
2021_25,11
2021_26,7
2021_27,13
2021_28,9
2021_29,14
2021_30,16
2021_31,12
2021_32,6
2021_33,10
2021_34,10
2021_35,18
2021_36,12
2021_37,9
2021_38,11
2021_39,13
2021_40,13
2021_41,17
2021_42,14
2021_43,10
2021_44,14
2021_45,19
2021_46,11
2021_47,19
2021_48,18
2021_49,18
2021_50,12
2021_51,23
2021_52,6
2022_00,8
2022_01,16
2022_02,12
2022_03,18
2022_04,25
2022_05,12
2022_06,19
2022_07,24
2022_08,25
2022_09,15
2022_10,19
2022_11,17
2022_12,17
2022_13,24
2022_14,16
2022_15,7
2022_16,16
2022_17,8
2022_18,22
2022_19,13
2022_20,16
2022_21,24
2022_22,14
2022_23,25
2022_24,21
2022_25,21
2022_26,12
2022_27,17
2022_28,15
2022_29,18
2022_30,18
2022_31,29
2022_32,19
2022_33,23
2022_34,28
2022_35,27
2022_36,21
2022_37,20
2022_38,16
2022_39,20
2022_40,17
2022_41,19
2022_42,22
2022_43,23
2022_44,23
2022_45,17
2022_46,33
2022_47,17
2022_48,24
2022_49,19
2022_50,14
2022_51,20
2022_52,8
2023_00,17
2023_01,30
2023_02,26
2023_03,16
2023_04,34
2023_05,34
2023_06,35
2023_07,37
2023_08,25
2023_09,30
2023_10,22
2023_11,33
2023_12,16
2023_13,36
2023_14,37
2023_15,24
2023_16,21
2023_17,19
2023_18,23
2023_19,36
2023_20,31
2023_21,25
2023_22,16
2023_23,27
2023_24,29
2023_25,24
2023_26,32
2023_27,34
2023_28,24
2023_29,26
2023_30,26
2023_31,31
2023_32,34
2023_33,25
2023_34,32
2023_35,25
2023_36,23
2023_37,37
2023_38,28
2023_39,21
2023_40,28
2023_41,30
2023_42,29
2023_43,18
2023_44,28
2023_45,32
2023_46,30
2023_47,41
2023_48,29
2023_49,13
